english;turkish;level;part_of_speech;;;;
import ;ithalat, ithal ettiði mal;B1 ;noun;;;;
import ;ithal etmek, dýþarýdan almak;B1 ;verb;;;;
importance ;önem;B1 ;noun;;;;
important ;önemli;A1 ;adjective;;;;
impose ;"yürürlüðe koymak, uygulamak; zorla kabul ettirmek";B2 ;verb;;;;
impossible ;imkânsýz, olanaksýz;A2 ;adjective;;;;
impress ;etkilemek, hayranlýk uyandýrmak;B2 ;verb;;;;
impressed ;etkilenmiþ;B2 ;adjective;;;;
impression ;"izlenim, fikir, kaný
taklit";B1 ;noun;;;;
impressive ;etkileyici, müthiþ;B1 ;adjective;;;;
imprison ;"hapsetmek; hapse atmak";C1 ;verb;;;;
imprisonment ;hapis;C1 ;noun;;;;
improve ;"geliþmek, ilerlemek, düzelmek; geliþtirmek, ilerletmek, düzeltmek";A1 ;verb;;;;
improvement ;"ilerleme; düzelme, iyileþme, geliþme";B1 ;noun;;;;
in ;" (yer) içinde; içine, -de; içeri, içeriye";A1 ;adverb;;;;
in ;" (yer) içinde; içine, -de; içeri, içeriye";A1 ;preposition;;;;
inability ;yetersizlik, beceriksizlik, kabiliyetsizlik;C1 ;noun;;;;
inadequate ;yetersiz, elveriþsiz;C1 ;adjective;;;;
inappropriate ;uygunsuz, yersiz;C1 ;adjective;;;;
incentive ;teþvik;B2 ;noun;;;;
inch ;inç;B2 ;noun;;;;
incidence ;oran;C1 ;noun;;;;
incident ;"olay; vukuat";B2 ;noun;;;;
inclined ;gönlü -den yana olmak;C1 ;adjective;;;;
include ;"içermek
dahil etmek, katmak";A1 ;verb;;;;
including ;dahil;A2 ;preposition;;;;
inclusion ;"katma; dahil etme";C1 ;noun;;;;
income ;gelir;B2 ;noun;;;;
incorporate ;"katmak, dahil etmek; birleþtirmek";B2 ;verb;;;;
incorrect ;"yanlýþ; hatalý";B2 ;adjective;;;;
increase ;"artýþ; çoðalma";A2 ;noun;;;;
increase ;"artmak, çoðalmak; arttýrmak, çoðaltmak";A2 ;verb;;;;
increasingly ;gitgide, gittikçe;B2 ;adverb;;;;
incredible ;"inanýlmaz; akýl almaz";A2 ;adjective;;;;
incredibly ;"muazzam; görülmemiþ";B1 ;adverb;;;;
incur ;uðramak, maruz kalmak;C1 ;verb;;;;
indeed ;gerçekten;B1 ;adverb;;;;
independence ;baðýmsýzlýk, istiklâl;B2 ;noun;;;;
independent ;"baðýmsýz
serbest, baþýna buyruk";A2 ;adjective;;;;
index ;"dizin; indeks, fihrist";B2 ;noun;;;;
indicate ;" (M) göstermek
belirtmek";B1 ;verb;;;;
indication ;"belirti; iþaret, gösterge";B2 ;noun;;;;
indicator ;gösterge;C1 ;noun;;;;
indictment ;"ayýp
iddianame, suçlama";C1 ;noun;;;;
indigenous ;yerli;C1 ;adjective;;;;
indirect ;dolaylý;B1 ;adjective;;;;
individual ;"her bir; baþlý baþýna";A2 ;adjective;;;;
individual ;"kiþi; birey";A2 ;noun;;;;
indoor ;"bina içi; kapalý (alana ait), kapalý";B1 ;adjective;;;;
indoors ;"içeriye; içeride";B1 ;adverb;;;;
induce ;ikna etmek;C1 ;verb;;;;
indulge ;"kendini birþeyin keyfinden mahrum býrakmamak; kapýlmak";C1 ;verb;;;;
industrial ;"sanayi; sýnai, endüstriyel";B2 ;adjective;;;;
industry ;sanayi, endüstri;A2 ;noun;;;;
inequality ;eþitsizlik;C1 ;noun;;;;
inevitable ;kaçýnýlmaz;B2 ;adjective;;;;
inevitably ;kaçýnýlmaz (biçimde);B2 ;adverb;;;;
infamous ;"adý kötüye çýkmýþ; namlý";C1 ;adjective;;;;
infant ;"bebek; küçük çocuk";C1 ;noun;;;;
infect ; (hastalýk, mikrop vb.) kapmak;C1 ;verb;;;;
infection ;" (hastalýk, mikrop vb.) kapma
enfeksiyon";B2 ;noun;;;;
infer ;"sonucuna varmak; anlam/sonuç çýkarmak";B2 ;verb;;;;
inflation ;enflasyon;B2 ;noun;;;;
inflict ; (genellikle istenmeyen birþeyi) vermek, uðratmak;C1 ;verb;;;;
influence ;"etki; nüfuz, sözü geçme";B1 ;noun;;;;
influence ;etkilemek;B1 ;verb;;;;
influential ;"etkili; nüfuzlu, söz sahibi";C1 ;adjective;;;;
inform ;"haber vermek; bildirmek, bilgi vermek";B2 ;verb;;;;
informal ;gündelik, gayriresmî;A2 ;adjective;;;;
information ;bilgi;A1 ;noun;;;;
infrastructure ;altyapý;B2 ;noun;;;;
ingredient ; (yemek) malzeme;B1 ;noun;;;;
inhabitant ;oturan, sakin;B2 ;noun;;;;
inherent ;doðasýnda var olan, doðasý gereði var olan;C1 ;adjective;;;;
inherit ;miras olarak almak;B2 ;verb;;;;
inhibit ;"engellemek; yavaþlatmak";C1 ;verb;;;;
initial ;"ilk; baþlangýç";B2 ;adjective;;;;
initially ;"baþlangýçta; ilkin";B2 ;adverb;;;;
initiate ;"baþlatmak
yol göstermek";C1 ;verb;;;;
initiative ;"giriþim
inisiyatif";B2 ;noun;;;;
inject ;þýrýnga etmek;C1 ;verb;;;;
injection ;"enjeksiyon; iðne";C1 ;noun;;;;
injure ;yaralamak, incitmek;B1 ;verb;;;;
injured ;yaralanmýþ, incinmiþ;B1 ;adjective;;;;
injury ;"zarar; yara; zedelenme, incitme";A2 ;noun;;;;
injustice ;"adaletsizlik; haksýzlýk";C1 ;noun;;;;
ink ;mürekkep;B2 ;noun;;;;
inmate ; (hapishane, hastane vb.) sakin;C1 ;noun;;;;
inner ;iç;B2 ;adjective;;;;
innocent ;"suçsuz; masum";B1 ;adjective;;;;
innovation ;yenilik;B2 ;noun;;;;
innovative ;yenilikçi;B2 ;adjective;;;;
input ;katký;B2 ;noun;;;;
inquiry [enquiry] ;araþtýrma;B2 ;noun;;;;
insect ;böcek;A2 ;noun;;;;
insert ;sokmak, yerleþtirmek;B2 ;verb;;;;
insertion ;sokma, yerleþtirme;C1 ;noun;;;;
inside ;iç;A2 ;adjective;;;;
inside ;"içeride; içeriye";A2 ;adverb;;;;
inside ;"iç; içeri";A2 ;noun;;;;
inside ;"içinde; içeride";A2 ;preposition;;;;
insider ;mensup, içinde olan, içerisinde olan;C1 ;noun;;;;
insight ;"(iç yüzünü) kavrama yeteneði, anlama yeteneði; görüþ";B2 ;noun;;;;
insist ;ýsrar etmek;B2 ;verb;;;;
inspect ;"incelemek
teftiþ etmek, denetlemek";C1 ;verb;;;;
inspection ;"inceleme; teftiþ, denetleme";C1 ;noun;;;;
inspector ;"müfettiþ, denetçi
komiser/baþkomiser";B2 ;noun;;;;
inspiration ;esin, ilham;C1 ;noun;;;;
inspire ;esinlemek, ilham vermek;B2 ;verb;;;;
install ;takmak, kurmak;B2 ;verb;;;;
installation ;kurma, yerleþtirme;B2 ;noun;;;;
instance ;"örnek; vaka";B2 ;noun;;;;
instant ;"âni, acil; anlýk, anýnda";B2 ;adjective;;;;
instantly ;"hemen; anýnda";B2 ;adverb;;;;
instead ;yerine;A2 ;adverb;;;;
instinct ;içgüdü;C1 ;noun;;;;
institute ;enstitü, kurum;B2 ;noun;;;;
institution ;"kuruluþ; kurum";B2 ;noun;;;;
institutional ;kurumsal;C1 ;adjective;;;;
instruct ;"talimat vermek
eðitmek, öðretmek";C1 ;verb;;;;
instruction ;talimat;A2 ;noun;;;;
instructor ;"eðitmen; öðretmen";A2 ;noun;;;;
instrument ;"araç, âlet
(müzik) alet";A2 ;noun;;;;
instrumental ;"aracý; vasýta
enstrümental";C1 ;adjective;;;;
insufficient ;yetersiz;C1 ;adjective;;;;
insult ;hakaret;C1 ;noun;;;;
insult ;hakaret etmek;C1 ;verb;;;;
insurance ;sigorta;B2 ;noun;;;;
intact ;saðlam, bozulmamýþ;C1 ;adjective;;;;
intake ; (yiyecek, içecek) alýnan miktar;C1 ;noun;;;;
integral ; (öðe vb.) ana, esas, tamamlayýcý;C1 ;adjective;;;;
integrate ;birleþtirmek;B2 ;verb;;;;
integration ;"kaynaþtýrma, bütünleþtirme; kaynaþma, bütünleþme";C1 ;noun;;;;
integrity ;"dürüstlük; doðruluk, erdem";C1 ;noun;;;;
intellectual ;zihinsel;B2 ;adjective;;;;
intellectual ;"aydýn; entelektüel";C1 ;noun;;;;
intelligence ;"zekâ
istihbarat";B1 ;noun;;;;
intelligent ;zeki, akýllý;A2 ;adjective;;;;
intend ;tasarlamak, niyetlenmek;B1 ;verb;;;;
intended ;istenen, hedeflenen;B2 ;adjective;;;;
intense ;"þiddetli, yoðun; ciddi";B2 ;adjective;;;;
intensify ;"þiddetlenmek, yoðunlaþmak; þiddetlendirmek, yoðunlaþtýrmak";C1 ;verb;;;;
intensity ;þiddet, yoðunluk;C1 ;noun;;;;
intensive ;yoðun;C1 ;adjective;;;;
intent ;niyet;C1 ;noun;;;;
intention ;niyet, tasarý, amaç;B1 ;noun;;;;
interact ;etkileþmek;B2 ;verb;;;;
interaction ;etkileþim;B2 ;noun;;;;
interactive ;etkileþimli;C1 ;adjective;;;;
interest ;"ilgi
merak";A1 ;noun;;;;
interest ;ilgilendirmek, merakýný uyandýrmak;A1 ;verb;;;;
interested ;ilgili, meraklý;A1 ;adjective;;;;
interesting ;ilgi çekici, ilginç;A1 ;adjective;;;;
interface ;" (bilgisayar) arayüz
çakýþma noktasý";C1 ;noun;;;;
interfere ;"karýþmak; burnunu sokmak
müdahale etmek, araya
girmek";C1 ;verb;;;;
interference ;müdahale, burnunu sokma;C1 ;noun;;;;
interim ;geçici;C1 ;adjective;;;;
interior ;iç;C1 ;adjective;;;;
interior ;iç;C1 ;noun;;;;
intermediate ;"ara
orta";C1 ;adjective;;;;
internal ;iç;B2 ;adjective;;;;
international ;uluslararasý;A2 ;adjective;;;;
internet ;Ýnternet;A1 ;noun;;;;
interpret ;"yorumlamak
çevirmek, tercüme etmek";B2 ;verb;;;;
interpretation ;yorum;B2 ;noun;;;;
interrupt ;sözünü kesmek, araya girmek;B2 ;verb;;;;
interval ;ara;B2 ;noun;;;;
intervene ;araya girmek, müdahale etmek;C1 ;verb;;;;
intervention ;müdahale;C1 ;noun;;;;
interview ;"mülakat, görüþme
röportaj";A1 ;noun;;;;
interview ;görüþme yapmak, mülakat yapmak;A1 ;verb;;;;
intimate ;"yakýn, içli dýþlý, samimi
özel, mahrem";C1 ;adjective;;;;
into ;içeri, -e;A1 ;preposition;;;;
intriguing ;"merak uyandýrýcý; büyüleyici";C1 ;adjective;;;;
introduce ;"tanýþtýrmak
kendini tanýtmak";A1 ;verb;;;;
introduction ;"ortaya çýkma, kullanýlmaya baþlama
tanýþtýrma, takdim
giriþ";A2 ;noun;;;;
invade ;istila etmek, iþgal etmek;B2 ;verb;;;;
invasion ;istila;B2 ;noun;;;;
invent ;"bulmak; icat etmek";A2 ;verb;;;;
invention ;icat, buluþ;A2 ;noun;;;;
invest ; (para) yatýrmak, yatýrým yapmak;B1 ;verb;;;;
investigate ;soruþturmak, araþtýrmak;B1 ;verb;;;;
investigation ;soruþturma, araþtýrma;B2 ;noun;;;;
investigator ;araþtýrýcý;C1 ;noun;;;;
investment ;"yatýrým; yatýrýlan para";B2 ;noun;;;;
investor ;yatýrýmcý;B2 ;noun;;;;
invisible ;görünmez;C1 ;adjective;;;;
invitation ;"davetiye; çaðrý";A2 ;noun;;;;
invite ;davet etmek;A2 ;verb;;;;
involve ;"gerektirmek
yer almak, karýþmak, bulaþmak";A2 ;verb;;;;
involved ;bulaþmak, yakýndan ilgilenmek;B1 ;adjective;;;;
involvement ;ilgi, baðlantý;C1 ;noun;;;;
iron ;"demir
ütü";B1 ;noun;;;;
iron ;ütülemek;B1 ;verb;;;;
ironic ;kinayeli, alaylý, cinaslý;C1 ;adjective;;;;
ironically ;"kinayeli biçimde; ne garip ki";C1 ;adverb;;;;
irony ;gariplik, tuhaflýk;C1 ;noun;;;;
irrelevant ;ilgisiz, konu dýþý;C1 ;adjective;;;;
island ;ada;A1 ;noun;;;;
isolate ;tecrit etmek;B2 ;verb;;;;
isolated ;"soyutlanmýþ; ücra";B2 ;adjective;;;;
isolation ;"yalnýzlýk; tecrit";C1 ;noun;;;;
issue ;"konu
baský, sayý";B1 ;noun;;;;
issue ;vermek, daðýtmak;B2 ;verb;;;;
it ; (cansýzlar, hayvanlar) o;A1 ;pronoun;;;;
IT [information technology] ;bilgi teknolojisi;B1 ;noun;;;;
item ;"parça, kalem; madde";A2 ;noun;;;;
its ; (cansýzlar, hayvanlar) onun;A1 ;determiner;;;;
itself ;"kendisi; kendisini; kendisine";A2 ;pronoun;;;;
jacket ;ceket;A1 ;noun;;;;
jail ;hapsetmek;B2 ;verb;;;;
jail [prison] ;hapishane, cezaevi;B2 ;noun;;;;
jam ;reçel;A2 ;noun;;;;
January ;Ocak;A1 ;noun;;;;
jazz ;caz;A2 ;noun;;;;
jeans ;blucin;A1 ;noun;;;;
jet ;jet;B2 ;noun;;;;
jewellery ;mücevherat, kuyum;A2 ;noun;;;;
job ;iþ;A1 ;noun;;;;
join ;"birleþtirmek
katýlmak, üye olmak";A1 ;verb;;;;
joint ;ortak;B2 ;adjective;;;;
joint ;eklem;B2 ;noun;;;;
joke ;fýkra, þaka;A2 ;noun;;;;
joke ;"þakalaþmak; eðlenmek";A2 ;verb;;;;
journal ;"(meslekî) dergi
günlük";B1 ;noun;;;;
journalism ;gazetecilik;B2 ;noun;;;;
journalist ;gazeteci;A2 ;noun;;;;
journey ;yolculuk;A1 ;noun;;;;
joy ;neþe, mutluluk;B2 ;noun;;;;
judge ;hakim, yargýç;B1 ;noun;;;;
judge ;"hüküm vermek; deðerlendirmek";B1 ;verb;;;;
judgement ;"doðru karar verme yeteneði
hüküm, karar";B2 ;noun;;;;
judicial ;adli, hukuki;C1 ;adjective;;;;
juice ;meyve, sebze suyu;A1 ;noun;;;;
July ;Temmuz;A1 ;noun;;;;
jump ;sýçrayýþ, atlama;A2 ;noun;;;;
jump ;atlamak, sýçramak;A2 ;verb;;;;
junction ;kavþak;C1 ;noun;;;;
June ;Haziran;A1 ;noun;;;;
junior ;düþük rütbeli, kýdemsiz, ast;B2 ;adjective;;;;
jurisdiction ;yetki alaný;C1 ;noun;;;;
jury ;mahkeme jürisi;B2 ;noun;;;;
just ;"tam, tam tamýna
yeni, henüz";A1 ;adverb;;;;
just ;adil, hakça;C1 ;adjective;;;;
justice ;"adalet
hukuk";B2 ;noun;;;;
justification ;"gerekçe; mazeret";C1 ;noun;;;;
justify ;haklý çýkarmak, mazur göstermek;B2 ;verb;;;;
keen ;hevesli, istekli, meraklý;B1 ;adjective;;;;
keep ;"kalmak, durmak
tutmak";A1 ;verb;;;;
key ;"temel; ana, kilit";A1 ;adjective;;;;
key ;anahtar;A1 ;noun;;;;
key ; (bilgisayar) girmek, iþlemek;B1 ;verb;;;;
keyboard ;klavye;B1 ;noun;;;;
kick ;"tekme; tekme vuruþu";B1 ;noun;;;;
kick ;tekmelemek, tekme atmak;B1 ;verb;;;;
kid ;çocuk;A2 ;noun;;;;
kidnap ;kaçýrmak;C1 ;verb;;;;
kidney ; (vücut) böbrek;C1 ;noun;;;;
kill ;"öldürmek; katletmek";A2 ;verb;;;;
killing ;cinayet;B1 ;noun;;;;
kilometre ;kilometre;A1 ;noun;;;;
kind ;"tür; çeþit";A1 ;noun;;;;
kind ;"nazik, iyi; sevecen";B1 ;adjective;;;;
king ;"kral
(satranç) þah";A2 ;noun;;;;
kingdom ;"krallýk; kraliyet";C1 ;noun;;;;
kiss ;öpücük;B1 ;noun;;;;
kiss ;öpmek;B1 ;verb;;;;
kit ;takým;B2 ;noun;;;;
kitchen ;mutfak;A1 ;noun;;;;
knee ;diz;A2 ;noun;;;;
knife ;býçak;A2 ;noun;;;;
knock ;"çalmak, týklatmak
vurmak, devirmek, çarpmak";A2 ;verb;;;;
knock ;darbe, vurma;B1 ;noun;;;;
know ;"bilmek
tanýmak, bilmek, aþina olmak";A1 ;verb;;;;
knowledge ;bilgi;A2 ;noun;;;;
lab [laboratory] ;laboratuvar;A2 ;noun;;;;
label ;etiket;B1 ;noun;;;;
label ;etiket yapýþtýrmak;B1 ;verb;;;;
laboratory ;laboratuvar;B1 ;noun;;;;
labour ;"iþ, emek
iþçi, iþ gücü";B2 ;noun;;;;
lack ;yokluk, eksiklik;B1 ;noun;;;;
lack ;-den yoksun olmak, muhtaç olmak;B1 ;verb;;;;
lad ;delikanlý;C1 ;noun;;;;
ladder ;seyyar merdiven;B2 ;noun;;;;
lady ;haným, bayan;A2 ;noun;;;;
lake ;göl;A2 ;noun;;;;
lamp ;lamba;A2 ;noun;;;;
land ;"kara
toprak, arazi, arsa";A1 ;noun;;;;
land ;"yere inmek; yere indirmek";A2 ;verb;;;;
landing ;"sahanlýk
iniþ";B2 ;noun;;;;
landlord ;ev sahibi/sahibesi, pansiyoncu;C1 ;noun;;;;
landmark ;nirengi noktasý;C1 ;noun;;;;
landscape ;manzara;B2 ;noun;;;;
lane ;"ara yol, kýr yolu
kulvar";B2 ;noun;;;;
language ;dil, lisan;A1 ;noun;;;;
lap ;"kucak
ethap, tur";C1 ;noun;;;;
laptop ;dizüstü bilgisayar;A2 ;noun;;;;
large ;büyük;A1 ;adjective;;;;
largely ;büyük ölçüde;B2 ;adverb;;;;
large-scale ;büyük çapta, büyük çaplý;C1 ;adjective;;;;
laser ;lazer;C1 ;noun;;;;
last ;son;A1 ;determiner;;;;
last ;sonuncu, sonda;A2 ;adverb;;;;
last ;sonuncu;A2 ;noun;;;;
last ;"sürmek
dayanmak";A2 ;verb;;;;
late ;sonlarý, sonu, -in geç saatleri, geç;A1 ;adjective;;;;
late ;sonlarý, sonu, -in geç saatleri, geç;A1 ;adverb;;;;
lately ;son zamanlarda;B2 ;adverb;;;;
later ;"daha sonra; sonra";A1 ;adverb;;;;
later ;sonraki;A2 ;adjective;;;;
latest ;en son;B1 ;adjective;;;;
latest ;"en son haberler, moda, aletler vb.
en geç";B2 ;noun;;;;
latter ;ikinci, son;C1 ;adjective;;;;
latter ;ikincisi;C1 ;noun;;;;
laugh ;gülme, kahkaha;A1 ;noun;;;;
laugh ;gülmek;A1 ;verb;;;;
laughter ;kahkaha;A2 ;noun;;;;
launch ;"suya indirme; uzaya fýrlatma; piyasaya sürme";B2 ;noun;;;;
launch ;"baþlatmak; (ürün vb.) piyasaya sürmek, çýkarmak";B2 ;verb;;;;
law ;"yasa, kanun
hukuk";A2 ;noun;;;;
lawn ;"çim; çimen";C1 ;noun;;;;
lawsuit ;dava;C1 ;noun;;;;
lawyer ;avukat;A2 ;noun;;;;
lay ;"yatýrmak, sermek, koymak
döþemek";B1 ;verb;;;;
layer ;tabaka, kat, katman;B1 ;noun;;;;
layout ;plan, düzen;C1 ;noun;;;;
lazy ;tembel, miskin;A2 ;adjective;;;;
lead ;"yol göstermek, götürmek
yönetmek, lider olmak";A2 ;verb;;;;
lead ;"birincilik, öncülük
baþrol";B1 ;noun;;;;
leader ;"lider; önder";A2 ;noun;;;;
leadership ;liderlik;B2 ;noun;;;;
leading ;önde gelen, önemli;B1 ;adjective;;;;
leaf ;yaprak;B1 ;noun;;;;
leaflet ;broþür;B2 ;noun;;;;
league ;lig;B2 ;noun;;;;
leak ;"çatlak, yarýk
sýzýntý";C1 ;noun;;;;
leak ;"sýzdýrmak, kaçýrmak; … kaçaðý olmak";C1 ;verb;;;;
lean ;"eðilmek; (yana, öne, vb.) yatmak
yaslanmak, dayanmak";B2 ;verb;;;;
leap ;atlayýþ, sýçrayýþ;C1 ;noun;;;;
leap ;atlamak, zýplamak, sýçramak;C1 ;verb;;;;
learn ;öðrenmek;A1 ;verb;;;;
learning ;öðrenme;A2 ;noun;;;;
least ;en az;A2 ;adverb;;;;
least ;en az;A2 ;determiner;;;;
least ;en az;A2 ;pronoun;;;;
leather ;deri;B1 ;noun;;;;
leave ;ayrýlmak, býrakmak, terk etmek;A1 ;verb;;;;
leave ;izin;B2 ;noun;;;;
lecture ;"konuþma, konferans
nutuk";A2 ;noun;;;;
lecture ;"konuþma yapmak, konferans vermek; diskur çekmek, nutuk çekmek";A2 ;verb;;;;
left ;"sol
kalmýþ";A1 ;adjective;;;;
left ;sola, sola doðru;A1 ;adverb;;;;
left ;sol;A1 ;noun;;;;
leg ;bacak;A1 ;noun;;;;
legacy ;miras;C1 ;noun;;;;
legal ;yasal, hukuki;B1 ;adjective;;;;
legend ;destan, efsane;B2 ;noun;;;;
legendary ;efsanevi, destansý;C1 ;adjective;;;;
legislation ;"yasalar, mevzuat
yasama";C1 ;noun;;;;
legislative ;yasamaya iliþkin;C1 ;adjective;;;;
legislature ;yasama organý;C1 ;noun;;;;
legitimate ;mantýklý, yerinde, geçerli;C1 ;adjective;;;;
leisure ;boþ zaman;B1 ;noun;;;;
lemon ;limon;A2 ;noun;;;;
lend ;ödünç vermek, borç vermek;A2 ;verb;;;;
length ;"uzunluk, boy
süre";B1 ;noun;;;;
lengthy ;uzun süren;C1 ;adjective;;;;
lens ;mercek;B2 ;noun;;;;
lesbian ;sevici lezbiyen;C1 ;adjective;;;;
less ;daha az;A2 ;adverb;;;;
less ;daha az;A2 ;determiner;;;;
less ;daha az;A2 ;pronoun;;;;
lesser ;daha az, daha önemsiz, daha küçük;C1 ;adjective;;;;
lesson ;ders;A1 ;noun;;;;
let ;"meydan vermek
izin vermek";A1 ;verb;;;;
lethal ;öldürücü;C1 ;adjective;;;;
letter ;"mektup
harf";A1 ;noun;;;;
level ;oran, düzey;A2 ;noun;;;;
level ;düz, düzgün;B1 ;adjective;;;;
level ;düzleþtirmek, eþitlemek, bir hizaya getirmek;B2 ;verb;;;;
liable ;"sorumlu, yükümlü
yatkýn, olmasý muhtemel";C1 ;adjective;;;;
liberal ;açýk fikirli, liberal;C1 ;adjective;;;;
liberal ;liberal;C1 ;noun;;;;
liberation ;kurtuluþ;C1 ;noun;;;;
liberty ;özgürlük;C1 ;noun;;;;
library ;kütüphane;A1 ;noun;;;;
licence ;"ehliyet, ruhsat
yetki";B2 ;noun;;;;
license ;ruhsat vermek, yetki vermek;C1 ;verb;;;;
lie ;yalan söylemek;A1 ;verb;;;;
lie ;yalan;B1 ;noun;;;;
lie ;yalan söylemek;B1 ;verb;;;;
life ;"hayat, yaþam
hayat, canlý, canlýlýk";A1 ;noun;;;;
lifelong ;ömür boyu;C1 ;adjective;;;;
lifestyle ;yaþam tarzý;A2 ;noun;;;;
lifetime ;ömür;B2 ;noun;;;;
lift ;"asansör
arabayla býrakmak";A2 ;noun;;;;
lift ;kaldýrmak, havaya kaldýrmak;A2 ;verb;;;;
light ;"aydýnlýk
hafif, kolay";A1 ;adjective;;;;
light ;ýþýk;A1 ;noun;;;;
light ;"yanmak; yakmak
aydýnlatmak";A2 ;verb;;;;
lighting ;ýþýklandýrma, aydýnlatma;B2 ;noun;;;;
like ;benzer, gibi;A1 ;preposition;;;;
like ;hoþlanmak, sevmek, beðenmek;A1 ;verb;;;;
like ;hoþlandýklarým;B1 ;noun;;;;
likelihood ;ihtimal, olasýlýk;C1 ;noun;;;;
likely ;"muhtemel, olasý
uygun";A2 ;adjective;;;;
likewise ;ayný þekilde;B2 ;adverb;;;;
limb ;kol, bacak;C1 ;noun;;;;
limit ;sýnýr, had;B1 ;noun;;;;
limit ;sýnýrlamak, sýnýrlandýrmak;B1 ;verb;;;;
limitation ;sýnýrlama, sýnýrlandýrma;B2 ;noun;;;;
limited ;sýnýrlý;B2 ;adjective;;;;
line ;"çizgi, hat
sýra, kuyruk, satýr, mýsra";A1 ;noun;;;;
line ;"astarlamak
sýralanmak, dizilmek";B2 ;verb;;;;
line up ;sýraya dizilmek, sýraya dizmek;C1 ;noun;;;;
linger ;oyalanmak;C1 ;verb;;;;
link ;bað, baðlantý;A2 ;noun;;;;
link ;baðlamak, arasýnda bað kurmak;A2 ;verb;;;;
lion ;aslan;A1 ;noun;;;;
lip ;dudak;B1 ;noun;;;;
liquid ;sývý;B1 ;adjective;;;;
liquid ;sývý;B1 ;noun;;;;
list ;liste;A1 ;noun;;;;
list ;liste yapmak, sýralamak, listeye koymak;A1 ;verb;;;;
listen ;dinlemek;A1 ;verb;;;;
listener ;dinleyici;A2 ;noun;;;;
literacy ;okur yazarlýk;C1 ;noun;;;;
literally ;kelimesi kelimesine;B2 ;adverb;;;;
literary ;edebî, yazýnsal;B2 ;adjective;;;;
literature ;edebiyat, yazýn;B1 ;noun;;;;
litre ;litre;B2 ;noun;;;;
litter ;çöp;B2 ;noun;;;;
little ;küçük, ufak;A1 ;adjective;;;;
little ;"az
biraz, birazcýk";A1 ;determiner;;;;
little ;az;A1 ;pronoun;;;;
little ;az;A2 ;adverb;;;;
live ;oturmak, yaþamak;A1 ;verb;;;;
live ;canlý, diri;B1 ;adjective;;;;
live ; (yayýn) naklen, canlý;B1 ;adverb;;;;
lively ;canlý, ateþli, hareketli;B2 ;adjective;;;;
liver ;karaciðer;C1 ;noun;;;;
living ;"yaþayan, sað
yaþama";B1 ;adjective;;;;
living ;geçim, geçinme;B1 ;noun;;;;
load ;yük;B2 ;noun;;;;
load ;"yüklenmek, doldurulmak; yüklemek, doldurmak, eli kollu dolu olmak, elini kolunu doldurmak";B2 ;verb;;;;
loan ;borç, ödünç (para);B2 ;noun;;;;
lobby ;lobi, giriþ;C1 ;noun;;;;
lobby ;kulis yapmak;C1 ;verb;;;;
local ;bölgesel, mahalli, yöresel;A1 ;adjective;;;;
local ;yerli halktan, yöre halkýndan;B1 ;noun;;;;
locate ;yerini belirlemek, yerini bulmak;B1 ;verb;;;;
located ;bulunmak;B1 ;adjective;;;;
location ;yer, konum;B1 ;noun;;;;
lock ;kilit;A2 ;noun;;;;
lock ;"kilitlemek; kilitlenmek
hapise atmak";A2 ;verb;;;;
log ;aðaç kütüðü;C1 ;noun;;;;
log ; (resmî olarak) kaydetmek;C1 ;verb;;;;
logic ;mantýk;C1 ;noun;;;;
logical ;mantýklý, mantýða uygun;B2 ;adjective;;;;
logo ;amblem;B2 ;noun;;;;
lonely ;yalnýz, kimsesiz;B1 ;adjective;;;;
long ;uzun;A1 ;adjective;;;;
long ;uzun süre;A1 ;adverb;;;;
long-standing ;uzun süreli;C1 ;adjective;;;;
long-term ;uzun vadeli;B2 ;adjective;;;;
look ;bakmak;A1 ;verb;;;;
look ;"bakma, bakýþ
ifade, görünüþ";A2 ;noun;;;;
loom ;heyulâ gibi belirmek/yükselmek;C1 ;verb;;;;
loop ;ilmek, halka;C1 ;noun;;;;
loose ;"serbest
gevþek";B2 ;adjective;;;;
lord ;"Lord
Ýsa, Tanrý";B2 ;noun;;;;
lorry ;kamyon;A2 ;noun;;;;
lose ;kaybetmek;A1 ;verb;;;;
loss ;"kayýp
zarar";B1 ;noun;;;;
lost ;kayýp;A2 ;adjective;;;;
lot ;çok daha, hayli;A1 ;adverb;;;;
lot ;çok;A1 ;determiner;;;;
lot ;"çok miktarda; çok sayýda";A1 ;pronoun;;;;
lottery ;piyango;B2 ;noun;;;;
loud ;"gürültülü; yüksek sesli";A2 ;adjective;;;;
loud ;"gürültülü; yüksek sesli";A2 ;adverb;;;;
loudly ;"yüksek sesle; gürültüyle";A2 ;adverb;;;;
love ;aþk;A1 ;noun;;;;
love ;sevmek;A1 ;verb;;;;
lovely ;"güzel; hoþ";A2 ;adjective;;;;
low ;"aþaðýda; aþaðýya";A2 ;adjective;;;;
low ;"aþaðýda; aþaðýya
düþük";A2 ;adverb;;;;
low ; (seviye, rakam vb.) düþük;B2 ;noun;;;;
lower ;"indirmek
azaltmak";B2 ;verb;;;;
loyal ;sadýk;B2 ;adjective;;;;
loyalty ;sadakat;C1 ;noun;;;;
luck ;þans;A2 ;noun;;;;
lucky ;talihli;A2 ;adjective;;;;
lunch ;öðle yemeði;A1 ;noun;;;;
lung ;akciðer;B2 ;noun;;;;
